Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,w,lnw
65760,572924085001102,March,MN,1582.5763,1360.0,40,43,1,,36,1,1,3,6,"Native, Born In US",MN,Outpatient care centers (6214),840,"Private, Nonprofit",No,No,Employed-At Work,1.0,False,34.0,3.5263605246161616
67792,370955207019356,March,NH,537.0839,600.0,30,43,1,,40,2,1,2,3,"Native, Born In US",NH,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,20.0,2.995732273553991
68972,50300500600133,March,NY,3676.5435,2884.61,60,44,1,,26,1,1,0,0,"Foreign Born, US Cit By Naturalization",NY,"Banking and related activities (521, 52211,52219)",840,"Private, For Profit",Yes,,Employed-At Work,1.0,False,48.07683333333333,3.8728004256064557
69427,975066986359810,March,NY,4313.9871,1000.0,40,43,1,7.0,27,1,7,0,0,"Native, Born In US",NY,Advertising and related services (5418),840,"Private, For Profit",No,No,Employed-At Work,1.0,False,25.0,3.2188758248682006
77867,7915540695592,March,WV,1304.6881,673.0,40,39,1,,57,2,1,0,0,"Native, Born In US",55,"Banking and related activities (521, 52211,52219)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,16.825,2.8228658755307916
79341,19014366060430,April,AZ,3598.5805,700.0,40,40,1,1.0,38,2,7,3,10,"Native, Born In US",8,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,17.5,2.8622008809294686
81353,200609954572542,April,CA,3454.9738,1211.53,40,43,1,,36,1,3,0,0,"Foreign Born, Not a US Citizen",9,"Architectural, engineering, and related services (5413)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,30.288249999999998,3.410759848526933
83069,200907945302391,April,CT,1447.1282,1730.0,40,44,1,,33,2,1,1,1,"Native, Born In US",1,Aircraft and parts manufacturing (336411 to 336413),840,"Private, For Profit",No,No,Employed-At Work,1.0,True,43.25,3.7669972333778885
86818,71694042907292,April,IL,3069.6633,1211.53,50,44,1,,29,2,1,0,0,"Native, Born In US",3,Agricultural implement manufacturing (33311),840,"Private, For Profit",No,No,Employed-At Work,1.0,True,24.2306,3.187616297212723
88170,767199619900911,April,IA,1404.7891,615.0,40,43,1,,37,1,1,2,3,"Native, Born In US",4,Insurance carriers and related activities (524),840,"Private, For Profit",No,No,Employed-At Work,1.0,False,15.375,2.7327428136925818
92905,151650760380301,April,NE,932.6497,625.0,60,43,1,,27,1,7,0,0,"Native, Born In US",4,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,10.416666666666666,2.3434070875143007
94421,395952602009479,April,NJ,3060.8528,1730.0,45,39,1,,45,1,1,0,0,"Native, Born In US",2,"Non-depository credit and related activities (5222, 5223)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,38.44444444444444,3.6492141977215047
94652,943285096909196,April,NJ,2902.0222,1259.0,40,43,2,,36,2,7,1,1,"Native, Born In US",2,Pharmaceutical and medicine manufacturing (3254),840,"Private, For Profit",No,No,Employed-At Work,1.0,True,31.475,3.449193579930411
95175,390982408016699,April,NY,5265.1184,2884.61,40,43,4,,39,1,1,2,5,"Foreign Born, US Cit By Naturalization",2,"Banking and related activities (521, 52211,52219)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,72.11525,4.27826553371462
95176,390982408016699,April,NY,4264.4028,1423.0,40,43,4,,39,2,1,2,5,"Foreign Born, US Cit By Naturalization",2,"Banking and related activities (521, 52211,52219)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,35.575,3.571643143975916
